mat1,mat2
85028,93
85028.3333333333,93
85028.6666666667,93
85029,93
85029.3333333333,93
85029.6666666667,93
85030,93
85030.3333333333,93
85030.6666666667,93
85031,93
85031.3333333333,93
85031.6666666667,93
85032,93
85032.3333333333,93
85032.6666666667,0
85033,0
85033.3333333333,0
85033.6666666667,0
85034,0
85034.3333333333,0
85034.6666666667,0
85035,94
85035.3333333333,94
85035.6666666667,94
85036,94
85036.3333333333,94
85036.6666666667,94
85037,95
85037.3333333333,95
85037.6666666667,95
85038,95
85038.3333333333,95
85038.6666666667,95
85039,95
85039.3333333333,95
85039.6666666667,95
85040,94
85040.3333333333,94
85040.6666666667,94
85041,94
85041.3333333333,94
85041.6666666667,94
85042,94
85042.3333333333,94
85042.6666666667,94
85043,94
85043.3333333333,94
85043.6666666667,94
85044,94
85044.3333333333,94
85044.6666666667,94
85045,94
85045.3333333333,94
85045.6666666667,94
85046,95
85046.3333333333,95
85046.6666666667,95
85047,95
85047.3333333333,95
85047.6666666667,95
85048,95
85048.3333333333,95
85048.6666666667,95
85049,95
85049.3333333333,95
85049.6666666667,95
85050,95
85050.3333333333,95
85050.6666666667,95
85051,95
85051.3333333333,95
85051.6666666667,95
85052,95
85052.3333333333,95
85052.6666666667,95
85053,95
85053.3333333333,95
85053.6666666667,95
85054,95
85054.3333333333,95
85054.6666666667,95
85055,95
85055.3333333333,95
85055.6666666667,0
85056,0
85056.3333333333,0
85056.6666666667,0
85057,0
85057.3333333333,95
85057.6666666667,95
85058,95
85058.3333333333,95
85058.6666666667,95
85059,95
85059.3333333333,95
85059.6666666667,95
85060,95
85060.3333333333,95
85060.6666666667,95
85061,95
85061.3333333333,95
85061.6666666667,95
85062,95
85062.3333333333,95
85062.6666666667,95
85063,95
85063.3333333333,95
85063.6666666667,95
85064,95
85064.3333333333,95
85064.6666666667,95
85065,95
85065.3333333333,95
85065.6666666667,95
85066,95
85066.3333333333,95
85066.6666666667,95
85067,95
85067.3333333333,95
85067.6666666667,95
85068,95
85068.3333333333,95
85068.6666666667,95
85069,95
85069.3333333333,95
85069.6666666667,95
85070,95
85070.3333333333,95
85070.6666666667,95
85071,95
85071.3333333333,95
85071.6666666667,95
85072,95
85072.3333333333,95
85072.6666666667,95
85073,95
85073.3333333333,95
85073.6666666667,95
85074,95
85074.3333333333,95
85074.6666666667,95
85075,95
85075.3333333333,95
85075.6666666667,95
85076,96
85076.3333333333,96
85076.6666666667,96
85077,96
85077.3333333333,96
85077.6666666667,96
85078,96
85078.3333333333,96
85078.6666666667,96
85079,96
85079.3333333333,96
85079.6666666667,96
85080,96
85080.3333333333,96
85080.6666666667,96
85081,96
85081.3333333333,96
85081.6666666667,96
85082,96
85082.3333333333,96
85082.6666666667,96
85083,96
85083.3333333333,96
85083.6666666667,96
85084,96
85084.3333333333,96
85084.6666666667,96
85085,96
85085.3333333333,96
85085.6666666667,96
85086,96
85086.3333333333,96
85086.6666666667,96
85087,96
85087.3333333333,96
85087.6666666667,96
85088,96
85088.3333333333,96
85088.6666666667,96
85089,96
85089.3333333333,96
85089.6666666667,96
85090,96
85090.3333333333,96
85090.6666666667,96
85091,96
85091.3333333333,95
85091.6666666667,95
85092,95
85092.3333333333,95
85092.6666666667,95
85093,95
85093.3333333333,95
85093.6666666667,95
85094,95
85094.3333333333,95
85094.6666666667,95
85095,95
85095.3333333333,95
85095.6666666667,95
85096,96
85096.3333333333,96
85096.6666666667,96
85097,96
85097.3333333333,96
85097.6666666667,96
85098,96
85098.3333333333,96
85098.6666666667,96
85099,96
85099.3333333333,96
85099.6666666667,96
85100,96
85100.3333333333,96
85100.6666666667,96
85101,96
85101.3333333333,96
85101.6666666667,96
85102,96
85102.3333333333,96
85102.6666666667,96
85103,96
85103.3333333333,96
85103.6666666667,96
85104,96
85104.3333333333,96
85104.6666666667,96
85105,96
85105.3333333333,96
85105.6666666667,96
85106,96
85106.3333333333,96
85106.6666666667,96
85107,96
85107.3333333333,96
85107.6666666667,96
85108,96
85108.3333333333,96
85108.6666666667,96
85109,96
85109.3333333333,96
85109.6666666667,96
85110,96
85110.3333333333,96
85110.6666666667,96
85111,96
85111.3333333333,96
85111.6666666667,96
85112,96
85112.3333333333,96
85112.6666666667,96
85113,96
85113.3333333333,96
85113.6666666667,96
85114,96
85114.3333333333,96
85114.6666666667,96
85115,96
85115.3333333333,96
85115.6666666667,96
85116,96
85116.3333333333,96
85116.6666666667,96
85117,96
85117.3333333333,96
85117.6666666667,96
85118,96
85118.3333333333,96
85118.6666666667,96
85119,96
85119.3333333333,96
85119.6666666667,96
85120,96
85120.3333333333,96
85120.6666666667,96
85121,96
85121.3333333333,96
85121.6666666667,96
85122,96
85122.3333333333,96
85122.6666666667,96
85123,96
85123.3333333333,96
85123.6666666667,96
85124,96
85124.3333333333,96
85124.6666666667,96
85125,96
85125.3333333333,96
85125.6666666667,96
85126,96
85126.3333333333,96
85126.6666666667,96
85127,96
85127.3333333333,96
85127.6666666667,96
85128,96
85128.3333333333,96
85128.6666666667,96
85129,96
85129.3333333333,96
85129.6666666667,96
85130,96
85130.3333333333,96
85130.6666666667,96
85131,96
85131.3333333333,96
85131.6666666667,96
85132,96
85132.3333333333,96
85132.6666666667,96
85133,96
85133.3333333333,96
85133.6666666667,96
85134,96
85134.3333333333,96
85134.6666666667,96
85135,96
85135.3333333333,96
85135.6666666667,96
85136,96
85136.3333333333,96
85136.6666666667,96
85137,96
85137.3333333333,96
85137.6666666667,96
85138,96
85138.3333333333,96
85138.6666666667,96
85139,96
85139.3333333333,96
85139.6666666667,96
85140,96
85140.3333333333,96
85140.6666666667,96
85141,97
85141.3333333333,96
85141.6666666667,96
85142,96
85142.3333333333,96
85142.6666666667,96
85143,96
85143.3333333333,96
85143.6666666667,96
85144,96
85144.3333333333,96
85144.6666666667,96
85145,96
85145.3333333333,96
85145.6666666667,96
85146,96
85146.3333333333,96
85146.6666666667,96
85147,96
85147.3333333333,96
85147.6666666667,96
85148,96
85148.3333333333,97
85148.6666666667,97
85149,97
85149.3333333333,97
85149.6666666667,97
85150,97
85150.3333333333,97
85150.6666666667,96
85151,96
85151.3333333333,96
85151.6666666667,96
85152,96
85152.3333333333,96
85152.6666666667,96
85153,96
85153.3333333333,96
85153.6666666667,96
85154,96
85154.3333333333,96
85154.6666666667,96
85155,96
85155.3333333333,96
85155.6666666667,96
85156,96
85156.3333333333,96
85156.6666666667,96
85157,96
85157.3333333333,96
85157.6666666667,96
85158,96
85158.3333333333,96
85158.6666666667,96
85159,96
85159.3333333333,96
85159.6666666667,96
85160,96
85160.3333333333,96
85160.6666666667,96
85161,96
